지역,재배면적_ha,10a당_생산량_kg,생산량_톤,재배면적_km2,생산량_톤),톤_퍼_km2
경기도 성남시,3,470,16,0.03,16,533.3333333333334
경기도 의정부시,43,483,209,0.43,209,486.04651162790697
경기도 부천시,99,467,464,0.99,464,468.6868686868687
경기도 광명시,60,467,279,0.6,279,465.0
경기도 평택시,10423,491,51219,104.23,51219,491.4036265950302
경기도 동두천시,27,483,131,0.27,131,485.18518518518516
경기도 안산시,1064,492,5235,10.64,5235,492.01127819548867
경기도 고양시,904,503,4549,9.04,4549,503.20796460176996
경기도 과천시,3,470,14,0.03,14,466.6666666666667
경기도 남양주시,122,483,588,1.22,588,481.9672131147541
경기도 오산시,218,470,1023,2.18,1023,469.26605504587155
경기도 시흥시,819,467,3822,8.19,3822,466.6666666666667
경기도 군포시,46,470,217,0.46,217,471.73913043478257
경기도 의왕시,19,470,89,0.19,89,468.42105263157896
경기도 하남시,13,470,61,0.13,61,469.2307692307692
경기도 용인시,3281,492,16139,32.81,16139,491.892715635477
경기도 파주시,6612,501,33156,66.12,33156,501.45190562613425
경기도 이천시,7268,518,37619,72.68,37619,517.5976884975233
경기도 안성시,7036,485,34156,70.36,34156,485.4462762933485
경기도 김포시,4219,497,20957,42.19,20957,496.729082721024
경기도 화성시,12209,503,61434,122.09,61434,503.18617413383566
경기도 광주시,550,501,2757,5.5,2757,501.27272727272725
경기도 양주시,1113,483,5373,11.13,5373,482.7493261455525
경기도 포천시,2684,499,13401,26.84,13401,499.2921013412817
경기도 여주시,6903,521,35947,69.03,35947,520.7446037954512
경기도 연천군,2927,500,14648,29.27,14648,500.4441407584558
경기도 가평군,743,450,3347,7.43,3347,450.47106325706596
경기도 양평군,3048,469,14304,30.48,14304,469.29133858267716
강원도 춘천시,1144,499,5709,11.44,5709,499.03846153846155
강원도 원주시,2834,523,14821,28.34,14821,522.971065631616
강원도 강릉시,2260,528,11924,22.6,11924,527.6106194690265
강원도 동해시,101,507,512,1.01,512,506.9306930693069
강원도 속초시,258,507,1308,2.58,1308,506.9767441860465
강원도 삼척시,567,507,2877,5.67,2877,507.4074074074074
강원도 홍천군,2083,502,10452,20.83,10452,501.7762842054729
강원도 횡성군,2077,528,10967,20.77,10967,528.0211844005778
강원도 영월군,251,507,1272,2.51,1272,506.7729083665339
강원도 평창군,175,507,888,1.75,888,507.42857142857144
강원도 정선군,185,507,941,1.85,941,508.64864864864865
강원도 철원군,9260,559,51780,92.6,51780,559.1792656587473
강원도 화천군,538,500,2688,5.38,2688,499.6282527881041
강원도 양구군,1174,486,5704,11.74,5704,485.8603066439523
강원도 인제군,608,502,3052,6.08,3052,501.9736842105263
강원도 고성군,2618,508,13295,26.18,13295,507.8304048892284
강원도 양양군,1517,507,7701,15.17,7701,507.6466710613052
충청북도 청주시,8954,512,45853,89.54,45853,512.0951530042439
충청북도 충주시,4080,530,21606,40.8,21606,529.5588235294118
충청북도 제천시,1539,565,8691,15.39,8691,564.7173489278753
