지역,재배면적_ha,10a당_생산량_kg,생산량_톤,재배면적_km2,생산량_톤),톤_퍼_km2
경기도 성남시,3,634,22,0.03,22,733.3333333333334
경기도 의정부시,43,641,278,0.43,278,646.5116279069767
경기도 부천시,99,610,606,0.99,606,612.1212121212121
경기도 광명시,60,610,364,0.6,364,606.6666666666667
경기도 평택시,10423,674,70202,104.23,70202,673.5296939460808
경기도 동두천시,27,641,174,0.27,174,644.4444444444445
경기도 안산시,1064,642,6839,10.64,6839,642.7631578947368
경기도 고양시,904,694,6274,9.04,6274,694.0265486725665
경기도 과천시,3,634,18,0.03,18,600.0
경기도 남양주시,122,641,781,1.22,781,640.1639344262295
경기도 오산시,218,634,1380,2.18,1380,633.0275229357798
경기도 시흥시,819,610,4994,8.19,4994,609.7680097680098
경기도 군포시,46,634,292,0.46,292,634.7826086956521
경기도 의왕시,19,634,120,0.19,120,631.578947368421
경기도 하남시,13,634,82,0.13,82,630.7692307692307
경기도 용인시,3281,651,21347,32.81,21347,650.6248095092959
경기도 파주시,6612,684,45202,66.12,45202,683.6358136721112
경기도 이천시,7268,676,49140,72.68,49140,676.1144744083654
경기도 안성시,7036,640,45045,70.36,45045,640.2075042637863
경기도 김포시,4219,680,28686,42.19,28686,679.9241526428063
경기도 화성시,12209,700,85477,122.09,85477,700.114669506102
경기도 광주시,550,655,3607,5.5,3607,655.8181818181819
경기도 양주시,1113,641,7133,11.13,7133,640.8805031446541
경기도 포천시,2684,667,17896,26.84,17896,666.7660208643815
경기도 여주시,6903,681,47013,69.03,47013,681.051716644937
경기도 연천군,2927,661,19345,29.27,19345,660.9156132558934
경기도 가평군,743,610,4532,7.43,4532,609.9596231493944
경기도 양평군,3048,634,19325,30.48,19325,634.0223097112861
강원도 춘천시,1144,653,7472,11.44,7472,653.1468531468532
강원도 원주시,2834,694,19665,28.34,19665,693.8955539872971
강원도 강릉시,2260,698,15785,22.6,15785,698.4513274336283
강원도 동해시,101,668,674,1.01,674,667.3267326732673
강원도 속초시,258,666,1718,2.58,1718,665.8914728682171
강원도 삼척시,567,668,3788,5.67,3788,668.0776014109348
강원도 홍천군,2083,656,13668,20.83,13668,656.1689870379262
강원도 횡성군,2077,693,14399,20.77,14399,693.2595089070775
강원도 영월군,251,668,1674,2.51,1674,666.9322709163347
강원도 평창군,175,668,1169,1.75,1169,668.0
강원도 정선군,185,668,1239,1.85,1239,669.7297297297297
강원도 철원군,9260,733,67836,92.6,67836,732.5701943844493
강원도 화천군,538,657,3533,5.38,3533,656.6914498141264
강원도 양구군,1174,640,7517,11.74,7517,640.289608177172
강원도 인제군,608,656,3991,6.08,3991,656.4144736842105
강원도 고성군,2618,666,17444,26.18,17444,666.3101604278075
강원도 양양군,1517,666,10113,15.17,10113,666.6446934739618
충청북도 청주시,8954,683,61187,89.54,61187,683.3482242573151
충청북도 충주시,4080,708,28892,40.8,28892,708.1372549019609
충청북도 제천시,1539,746,11478,15.39,11478,745.8089668615984
충청북도 보은군,3680,683,25152,36.8,25152,683.4782608695652
충청북도 옥천군,1754,664,11652,17.54,11652,664.3101482326113
충청북도 영동군,1082,644,6973,10.82,6973,644.4547134935304
충청북도 진천군,4183,692,28926,41.83,28926,691.5132679894813
충청북도 괴산군,2148,663,14241,21.48,14241,662.9888268156425
충청북도 음성군,3923,662,25974,39.23,25974,662.0953352026511
충청북도 단양군,221,746,1648,2.21,1648,745.7013574660633
충청북도 증평군,906,655,5935,9.06,5935,655.0772626931567
충청남도 천안시,5650,688,38879,56.5,38879,688.1238938053098
충청남도 공주시,6229,712,44359,62.29,44359,712.1367795793867
충청남도 보령시,8296,704,58387,82.96,58387,703.7970106075218
충청남도 아산시,9222,726,66995,92.22,66995,726.4693125135545
충청남도 서산시,16957,723,122559,169.57,122559,722.7634605177803
충청남도 논산시,10454,721,75324,104.54,75324,720.5280275492634
충청남도 계룡시,115,721,826,1.15,826,718.2608695652175
충청남도 금산군,1650,686,11311,16.5,11311,685.5151515151515
충청남도 부여군,9868,728,71807,98.68,71807,727.6753141467369
충청남도 서천군,9709,721,69998,97.09,69998,720.9599340817798
충청남도 청양군,4869,731,35614,48.69,35614,731.4438283014994
충청남도 홍성군,8739,730,63762,87.39,63762,729.6258153106763
충청남도 예산군,9903,742,73431,99.03,73431,741.5025749772796
충청남도 태안군,8351,701,58556,83.51,58556,701.1854867680516
충청남도 당진시,19775,755,149372,197.75,149372,755.3577749683944
전라북도 전주시,2357,658,15499,23.57,15499,657.5731862537124
전라북도 군산시,11734,688,80739,117.34,80739,688.0773819669337
전라북도 익산시,15678,692,108465,156.78,108465,691.8293149636434
전라북도 정읍시,12583,701,88187,125.83,88187,700.8424064213622
전라북도 남원시,9366,728,68189,93.66,68189,728.0482596626094
전라북도 김제시,14427,712,102748,144.27,102748,712.1924169959104
전라북도 완주군,3461,636,22020,34.61,22020,636.2323028026582
전라북도 진안군,1717,662,11361,17.17,11361,661.6773442050087
전라북도 무주군,747,705,5271,7.47,5271,705.6224899598394
전라북도 장수군,2652,704,18667,26.52,18667,703.8838612368024
전라북도 임실군,3666,670,24564,36.66,24564,670.049099836334
전라북도 순창군,5286,650,34335,52.86,34335,649.5459704880817
