지역,재배면적_ha,10a당_생산량_kg,생산량_톤,재배면적_km2,생산량_톤),톤_퍼_km2
경기도 성남시,3,506,17,0.03,17,566.6666666666667
경기도 의정부시,43,520,225,0.43,225,523.2558139534884
경기도 부천시,99,503,499,0.99,499,504.04040404040404
경기도 광명시,60,503,300,0.6,300,500.0
경기도 평택시,10423,529,55133,104.23,55133,528.9551952412933
경기도 동두천시,27,520,141,0.27,141,522.2222222222222
경기도 안산시,1064,529,5635,10.64,5635,529.6052631578947
경기도 고양시,904,542,4897,9.04,4897,541.7035398230089
경기도 과천시,3,506,15,0.03,15,500.0
경기도 남양주시,122,520,633,1.22,633,518.8524590163935
경기도 오산시,218,506,1101,2.18,1101,505.045871559633
경기도 시흥시,819,503,4114,8.19,4114,502.3199023199023
경기도 군포시,46,506,233,0.46,233,506.52173913043475
경기도 의왕시,19,506,96,0.19,96,505.2631578947368
경기도 하남시,13,506,66,0.13,66,507.6923076923077
경기도 용인시,3281,530,17373,32.81,17373,529.503200243828
경기도 파주시,6612,540,35690,66.12,35690,539.7761645493042
경기도 이천시,7268,557,40494,72.68,40494,557.1546505228398
경기도 안성시,7036,523,36767,70.36,36767,522.5554292211484
경기도 김포시,4219,535,22558,42.19,22558,534.6764636169709
경기도 화성시,12209,542,66129,122.09,66129,541.6414120730608
경기도 광주시,550,539,2968,5.5,2968,539.6363636363636
경기도 양주시,1113,520,5784,11.13,5784,519.676549865229
경기도 포천시,2684,537,14425,26.84,14425,537.4441132637854
경기도 여주시,6903,561,38694,69.03,38694,560.5388961321164
경기도 연천군,2927,539,15767,29.27,15767,538.6744106593782
경기도 가평군,743,485,3603,7.43,3603,484.92597577388966
경기도 양평군,3048,505,15397,30.48,15397,505.15091863517057
강원도 춘천시,1144,537,6146,11.44,6146,537.2377622377622
강원도 원주시,2834,563,15954,28.34,15954,562.9498941425547
강원도 강릉시,2260,568,12835,22.6,12835,567.9203539823009
강원도 동해시,101,546,551,1.01,551,545.5445544554456
강원도 속초시,258,546,1408,2.58,1408,545.7364341085271
강원도 삼척시,567,546,3097,5.67,3097,546.2081128747795
강원도 홍천군,2083,540,11251,20.83,11251,540.1344215074413
강원도 횡성군,2077,568,11805,20.77,11805,568.3678382282138
강원도 영월군,251,546,1369,2.51,1369,545.4183266932272
강원도 평창군,175,546,956,1.75,956,546.2857142857143
강원도 정선군,185,546,1013,1.85,1013,547.5675675675675
