"행정구역(시군)별(1)",2023,2023,2023,2023,2023,2023
"행정구역(시군)별(1)",농가 (가구),농가 (가구),농가 (가구),농가인구 (명),농가인구 (명),농가인구 (명)
"행정구역(시군)별(1)",소계,전업,겸업,소계,남자,여자
"행정구역(시군)별(1)",소계,소계,소계,소계,소계,소계
"합계",162238,106519,55719,323326,159544,163782
"포항시",12988,6607,6381,28139,13653,14486
"경주시",12178,7135,5043,23749,11713,12036
"김천시",12605,7994,4611,25904,12784,13120
"안동시",11416,8124,3292,21213,10510,10703
"구미시",9912,5187,4725,21993,11003,10990
"영주시",7992,5686,2306,15747,7698,8049
"영천시",7968,6317,1651,16054,7963,8091
"상주시",13652,9346,4306,27285,13359,13926
"문경시",7539,4643,2896,15312,7624,7688
"경산시",6812,4613,2199,14515,7025,7490
"의성군",8637,7389,1248,15948,8014,7934
"청송군",5299,2383,2916,10442,5271,5171
"영양군",2896,1560,1336,5384,2687,2697
"영덕군",3102,1981,1121,5971,2842,3129
"청도군",6582,5533,1049,12511,6122,6389
"고령군",3930,2939,991,7429,3595,3834
"성주군",5836,4540,1296,12380,6334,6046
"칠곡군",4601,2609,1992,8557,4145,4412
"예천군",7974,5939,2035,15179,7558,7621
"봉화군",5716,3754,1962,10702,5464,5238
"울진군",4151,2060,2091,8028,3740,4288
"울릉군",452,180,272,884,440,444
