"행정구역(시군)별(1)",2022,2022,2022,2022,2022,2022
"행정구역(시군)별(1)",농가 (호),농가 (호),농가 (호),농가인구 (명),농가인구 (명),농가인구 (명)
"행정구역(시군)별(1)",소계,전업,겸업,소계,남,여
"행정구역(시군)별(1)",소계,소계,소계,소계,소계,소계
"합계",117162,72251,44911,242326,119303,123023
"천안시",9876,5405,4471,23159,11369,11791
"공주시",10101,6503,3598,20028,10070,9958
"보령시",6822,3582,3239,13844,6802,7043
"아산시",8556,5845,2711,17321,8586,8735
"서산시",10623,6789,3834,22076,11181,10895
"논산시",9599,7049,2550,19172,9562,9610
"계룡시",480,183,296,1076,567,509
"당진시",10695,7273,3422,23257,11478,11779
"금산군",6235,3792,2443,13391,6442,6949
"부여군",7119,5241,1878,13813,6759,7054
"서천군",6741,3436,3306,13138,6487,6651
"청양군",5569,2844,2725,11279,5357,5922
"홍성군",9365,5390,3975,19765,9697,10069
"예산군",8486,5772,2714,17610,8719,8891
"태안군",6895,3147,3748,13399,6231,7168
