지역,유통망 수,미곡처리장 수,농기계 수
가야면 ,1.0,0.0,0.0
가평군,0.0,6.0,0.0
강남구,0.0,0.0,69.0
강동구,0.0,0.0,83.0
강릉시,1.0,1.0,0.0
강서구,0.0,1.0,17023.0
강진군,1.0,0.0,0.0
강화군,0.0,47.0,50604.0
거창군,1.0,0.0,0.0
경산시,3.0,0.0,0.0
경주시,1.0,0.0,0.0
계양구,0.0,0.0,2300.0
고령군,1.0,0.0,0.0
고성군,2.0,0.0,0.0
고성군,1.0,0.0,0.0
고양시,0.0,0.0,11677.0
고창군,1.0,0.0,0.0
곡성군,3.0,1.0,0.0
과천시,0.0,0.0,659.0
광명시,0.0,0.0,1751.0
광산구,0.0,0.0,14629.0
구례군,2.0,0.0,0.0
군산시,2.0,6.0,0.0
금산군,2.0,0.0,0.0
금정구,0.0,0.0,716.0
기장군,0.0,0.0,8021.0
김해시,5.0,1.0,0.0
남구,0.0,1.0,4350.0
남동구,0.0,0.0,2442.0
남원시,5.0,30.0,0.0
노원구,0.0,0.0,36.0
달서구,0.0,0.0,1222.0
달성군,0.0,1.0,32696.0
대덕구,0.0,0.0,1541.0
도봉구,0.0,0.0,9.0
동구,0.0,0.0,13376.0
동두천시,0.0,0.0,1583.0
동해시,0.0,2.0,0.0
무주군,4.0,0.0,0.0
문경시,1.0,0.0,0.0
보령시,2.0,0.0,0.0
보성군,3.0,13.0,0.0
보은군,1.0,0.0,0.0
부여군,17.0,0.0,0.0
부천시,0.0,0.0,1156.0
부평구,0.0,0.0,301.0
북구,0.0,0.0,12352.0
사상구,0.0,0.0,223.0
사천시,3.0,0.0,0.0
삼척시,1.0,0.0,0.0
삼척시,1.0,0.0,0.0
상주시,13.0,0.0,0.0
서구,0.0,0.0,8467.0
서귀포시,21.0,0.0,0.0
서초구,0.0,0.0,187.0
성남시,0.0,0.0,1242.0
성주군,12.0,0.0,0.0
세종특별자치시,0.0,0.0,31840.0
송파구,0.0,0.0,117.0
수성구,0.0,0.0,1640.0
수원시,0.0,0.0,4309.0
순천시,1.0,0.0,0.0
신안군,1.0,0.0,0.0
신안군,8.0,0.0,0.0
아산시,5.0,0.0,0.0
안동시,9.0,0.0,0.0
안산시,1.0,0.0,7651.0
안성시,0.0,4.0,0.0
안양시,0.0,0.0,107.0
양주시,0.0,1.0,0.0
양천구,0.0,0.0,42.0
여수시,2.0,0.0,0.0
연수구,0.0,0.0,78.0
연천군,0.0,1.0,0.0
영광군,1.0,0.0,0.0
영덕군,1.0,2.0,0.0
영주시,1.0,0.0,0.0
영천시,17.0,9.0,0.0
예산군,1.0,0.0,0.0
예천군,3.0,0.0,0.0
옥천군,1.0,0.0,0.0
옹진군,0.0,0.0,8424.0
용인시,1.0,1.0,0.0
울주군,0.0,0.0,36404.0
유성구,0.0,0.0,6719.0
음성군,4.0,0.0,0.0
의정부시,0.0,0.0,1118.0
익산시,1.0,5.0,0.0
인제군,2.0,1.0,0.0
장성군,0.0,2.0,0.0
장수군,4.0,1.0,0.0
정읍시,1.0,0.0,0.0
제천시,3.0,0.0,0.0
중구,0.0,0.0,6905.0
증평군,0.0,10.0,0.0
진안군,1.0,1.0,0.0
진주시,1.0,2.0,0.0
진천군,2.0,0.0,0.0
창원시,4.0,0.0,0.0
천안시,8.0,11.0,0.0
청도군,0.0,2.0,0.0
청송군,7.0,0.0,0.0
청주시,0.0,4.0,0.0
춘천시,5.0,0.0,0.0
충주시,9.0,33.0,0.0
파주시,0.0,20.0,0.0
평창군,7.0,0.0,0.0
평택시,0.0,0.0,46269.0
하동군,2.0,1.0,0.0
함양군,6.0,3.0,0.0
합천군,6.0,1.0,0.0
해남군,0.0,5.0,0.0
해운대구,0.0,0.0,139.0
홍성군,0.0,4.0,0.0
홍천군,6.0,0.0,0.0
홍천군,1.0,0.0,0.0
화성시,1.0,0.0,0.0
화순군,5.0,0.0,0.0
