소재지도로명주소,소재지지번주소,트랙터및작업기보유대수,경운기및작업기보유대수,관리기및작업기보유대수,땅속작물수확기보유대수,탈곡기및정선작업기보유대수,자주형파종기보유대수,이앙작업기보유대수,벼수확및운반작업기보유대수,총 임대 농기계,,,
충청남도 계룡시 두마면 사계로 177,,34,2,15,7,13,2,0,0,73,,,
경기도 양주시 은현면 그루고개로221번길262,경기도 양주시 은현면 도하리 682,298,16,38,21,54,11,19,22,479,,,
경상남도 밀양시 상남면 상남로 1008-18,경상남도 밀양시 상남면 기산리 1052-1,136,4,13,21,34,1,0,1,210,,,
전북특별자치도 정읍시 신태인읍 감곡로 42,전북특별자치도 정읍시 신태인읍 백산리 산 255-1,95,26,48,25,21,0,0,2,217,,,
충청북도 음성군 대소면 청천로 38,충청북도 음성군 대소면 오류리 414,31,3,16,4,13,1,3,0,71,,,
강원특별자치도 화천군 하남면 용화산로 1321-20 화천생태영상센터,강원특별자치도 화천군 하남면 용암리 1015-3,39,1,7,4,11,0,0,4,66,,,
강원특별자치도 화천군 사내면 창안산길 34,강원특별자치도 화천군 사내면 사창리 410-2,37,2,11,1,10,0,1,3,65,,,
강원특별자치도 화천군 사내면 포화로 686,강원특별자치도 화천군 사내면 광덕리 516-15,24,1,7,0,5,0,0,0,37,,,
경상남도 의령군 부림면 한지31길 6,경상남도 의령군 부림면 신반리 160-11,85,3,5,17,10,5,0,3,128,,,
충청북도 충주시 동량면 충원대로1350,충청북도 충주시 대전리 1667,49,14,20,20,34,0,3,4,144,,,
충청북도 충주시 대소원면 화곡1길 30-29,충청북도 충주시 대소원면 영평리 479-69,39,15,26,19,38,1,2,4,144,,,
충청북도 충주시 창현로 1239,충청북도 충주시 용관동 305-1,16,6,9,9,20,1,0,1,62,,,
충청북도 충주시 앙성면 동막고개길 346,충청북도 충주시 앙성면 능암리 747-2,13,4,8,3,17,0,0,1,46,,,
충청북도 충주시 수회리로 186,충청북도 충주시 수안보면 중산리 479,11,8,13,4,15,0,1,2,54,,,
경기도 김포시 통진읍 하성로 58-155,경기도 김포시 통진읍 수참리 373,168,19,25,33,42,23,8,0,318,,,
경기도 양평군 양평읍 농업기술센터길 37,경기도 양평군 양평읍 공흥리 1-1,87,15,34,21,30,1,4,2,194,,,
인천광역시 강화군 송해면 강화대로 842-12,인천광역시 강화군 송해면 하도리 1218,84,5,21,14,15,1,0,0,140,,,
인천광역시 강화군 화도면 마니산로 348,인천광역시 강화군 화도면 덕포리 853,86,9,29,16,22,0,0,0,162,,,
충청남도 부여군 규암면 흥수로 488,충청남도 부여군 규암면 노화리 325-1,140,7,40,9,30,5,1,16,248,,,
충청남도 부여군 임천면 충절로 923-12,충청남도 부여군 임천면 만사리 404-1,102,8,23,8,13,6,2,0,162,,,
충청남도 부여군 석성면 왕릉로정각사길 8-11,충청남도 부여군 석성면 정각리 148-2,74,2,12,6,11,4,0,0,109,,,
충청남도 부여군 홍산면 남성로 85,충청남도 부여군 홍산면 좌홍리 1024-4,54,0,10,3,11,2,0,0,80,,,
전라남도 화순군 능주면 학포로 2343,전라남도 화순군 능주면 만수리 797-16,81,15,48,12,21,4,2,2,185,,,
전라남도 화순군 동복면 오지호로 335,전라남도 화순군 동복면 천변리 5-1,45,9,31,9,19,3,1,0,117,,,
경상남도 창원시 의창구 동읍 봉강가술로 70,경상남도 창원시 의창구 동읍 봉곡리 176-1,2,2,11,9,13,0,0,13,50,,,
경상남도 창원시 마산합포구 진북면 지산1길 130,경상남도 창원시 마산합포구 진북면 지산리 262-10,1,3,9,10,10,1,0,2,36,,,
경상남도 창원시 진해구 웅천로 218,경상남도 창원시 진해구 성내동 476-2,1,1,4,1,3,0,0,2,12,,,
경상남도 진주시 문산읍 문정로 471-9,경상남도 진주시 문산읍 두산리 777,86,14,36,16,18,0,2,0,172,,,
경상남도 진주시 집현면 신당길 207번길 22,경상남도 진주시 집현면 신당리 95-1,57,12,25,9,11,0,0,0,114,,,
경상남도 진주시 진성면 동부로 1605,경상남도 진주시 진성면 천곡리 1151-6,55,10,14,8,6,0,0,0,93,,,
경상남도 사천시 용현면 진삼로 902,경상남도 사천시 용현면 신복리 500,26,18,14,13,17,2,0,0,90,,,
경상남도 사천시 곤양면 서삼로 103,경상남도 사천시 곤양면 송전리 99-6,5,6,6,8,5,0,0,0,30,,,
경상남도 김해시 전하로198번길 102,경상남도 김해시 전하동 900,75,6,15,10,6,5,0,0,117,,,
충청남도 당진시 구봉로 46,,145,5,25,25,60,15,0,0,275,,,
충청남도 당진시 합덕읍 면천로 1580,,122,9,15,26,56,8,0,0,236,,,
충청북도 괴산군 괴산읍 수진4길 66,충청북도 괴산군 괴산읍 서부리 708,43,1,31,18,22,5,0,0,120,,,
충청북도 괴산군 감물면 감물로이담4길 5,충청북도 괴산군 감물면 이담리 521,33,1,25,9,21,3,0,0,92,,,
충청북도 괴산군 장연면 연풍로 448,충청북도 괴산군 장연면 송덕리 494-6,26,2,27,16,17,4,0,0,92,,,
충청북도 괴산군 연풍면 연풍로배상길 101,충청북도 괴산군 연풍면 행촌리 807,29,1,13,3,15,2,0,0,63,,,
충청북도 괴산군 청천면 금평진등2길 13-15,충청북도 괴산군 청천면 도원리 202-12,37,3,49,21,25,7,0,0,142,,,
충청북도 괴산군 사리면 사리로사담1길 5,충청북도 괴산군 사리면 사담리 533,40,5,34,22,20,8,0,0,129,,,
충청남도 당진시 석문면 대호로 1479-2,,115,10,25,22,48,5,0,0,225,,,
충청남도 당진시 신평면 덕평로 1366-35,,53,0,6,7,22,0,0,0,88,,,
충청북도 청주시 상당구 남일면 단재로 480,충청북도 청주시 상당구 남일면 효촌리 279,48,55,174,29,19,16,39,23,403,,,
전북특별자치도 임실군 임실읍 봉황로 371,전북특별자치도 임실군 임실읍 두곡리 42-1,1,14,31,35,26,20,0,0,127,,,
전북특별자치도 임실군 오수면 오수로 195-60,전북특별자치도 임실군 오수면 대명리 699-2,1,14,30,30,25,21,0,0,121,,,
전북특별자치도 임실군 신덕면 수지로 36,전북특별자치도 임실군 신덕면 수천리 894-3,1,12,21,14,16,15,0,0,79,,,
전북특별자치도 임실군 강진면 강동로 1346,전북특별자치도 임실군 강진면 갈담리 505,1,10,15,13,15,19,0,0,73,,,
경기도 가평군 가평읍 아랫마장길 59,경기도 가평군 가평읍 승안리 100번지,136,0,36,5,32,30,29,20,288,,,
전북특별자치도 남원시 황산로 1733,전북특별자치도 남원시 인월면 서무리 1055-4,119,28,48,33,25,2,2,0,257,,,
전북특별자치도 남원시 물머리로 12,전북특별자치도 남원시 금지면 창산리 72-2,126,16,45,24,21,2,2,0,236,,,
전북특별자치도 남원시 덕오로 52,전북특별자치도 남원시 사매면 오신리 818-1,116,14,42,22,15,2,3,0,214,,,
충청북도 증평군 증평읍 내룡길 69-50,충청북도 증평군 증평읍 사곡리 316,113,10,65,17,17,0,10,9,241,,,
경상남도 거제시 거제면 거제남서로 3585,경상남도 거제시 거제면 서정리 976-13,51,16,34,0,7,0,0,0,108,,,
경상남도 의령군 의령읍 의합대로 69,경상남도 의령군 의령읍 무전리 249-7,105,16,13,81,29,11,0,3,258,,,
경상남도 의령군 정곡면 법정로1길 6,경상남도 의령군 정곡면 백곡리 952,56,7,6,24,10,6,0,3,112,,,
충청남도 보령시 주포면 충서로 3220,충청남도 보령시 주포면 관산리 432,45,2,24,12,23,0,8,1,115,,,
충청남도 보령시 웅천읍 장터7길 30,충청남도 보령시 웅천읍 대창리 349-5,31,2,14,9,14,0,6,1,77,,,
충청남도 태안군 안면읍 장터로 10,충청남도 태안군 안면읍 승언리 341-125,46,20,32,29,9,0,0,0,136,,,
충청남도 태안군 원북면 원이로 1015,충청남도 태안군 원북면 마산리 100-15,32,14,11,30,37,2,0,0,126,,,
충청남도 태안군 근흥면 마금로 227,충청남도 태안군 근흥면 마금리 326,23,13,21,31,26,0,0,0,114,,,
전북특별자치도 진안군 마령면 임진로 2132,전북특별자치도 진안군 마령면 평지리 1356,2+21,4+4,5,1,13,0,0,0,19,,,
전북특별자치도 진안군 동향면 창촌길 40,전북특별자치도 진안군 동향면 대량리 184-1,2+14,2+2,3,1,8,0,0,0,12,,,
전북특별자치도 진안군 부귀면 부귀로 206,전북특별자치도 진안군 부귀면 거석리 879-2,2+27,3+3,4,2,13,0,0,0,19,,,
전북특별자치도 진안군 안천면 진무로 3042,전북특별자치도 진안군 안천면 백화리 1536-3,2+18,3+3,4,0,6,0,0,0,10,,,
전북특별자치도 진안군 상전면 주평로 11-17,전북특별자치도 진안군 상전면 주평리 1018,1+2,1+1,2,0,2,0,0,0,4,,,
전라남도 무안군 무안읍 무안로 339,전라남도 무안군 무안읍 성남리 582-1,85,0,36,5,20,26,0,1,173,,,
경기도 수원시 권선구 온정로45,경기도 수원시 권선구 오목천동 40,3,6,16,1,4,1,0,0,31,,,
경상북도 영주시 안정면 안정로 30,경상북도 영주시 안정면 안심리 131,66,5,17,11,19,11,0,3,132,,,
경상북도 영주시 문수면 종릉로 516,경상북도 영주시 문수면 만방리 918-2,93,17,18,29,36,15,0,2,210,,,
경상북도 영주시 단산면 아호로 6,경상북도 영주시 단산면 옥대리 135-4,80,4,12,7,30,18,0,2,153,,,
경상남도 의령군 정곡면 법정로1길6,경상남도 의령군 정곡면 백곡리 952,45,9,8,26,13,6,0,3,110,,,
경상남도 의령군 부림면 한지31길6,경상남도 의령군 부림면 신반리 160-11,95,7,6,19,11,5,0,3,146,,,
경상남도 의령군 칠곡면 진의로 2210-6,경상남도 의령군 칠곡면 신포리 241,40,5,4,5,7,1,0,1,63,,,
경상남도 함안군 가야읍 삼봉로 422,경상남도 함안군 가야읍 묘사리 910,105,5,15,20,21,1,1,0,168,,,
경상남도 함안군 칠서면 회산길 108,경상남도 함안군 칠서면 회산리 34-3,91,5,10,10,18,1,0,0,135,,,
경상남도 함안군 산인면 서봉로 13,경상남도 함안군 산인면 부봉리 469-1,25,0,6,5,9,0,1,0,46,,,
경상남도 창녕군 대지면 우포2로 1069-15,경상남도 창녕군 대지면 효정리 291,441,66,82,103,24,74,0,0,790,,,
경상남도 창녕군 도천면 신제로 357-3,경상남도 창녕군 도천면 일리 666,155,20,43,82,17,29,0,0,346,,,
경상남도 고성군 고성읍 남해안대로 2829-60,경상남도 고성군 고성읍 우산리 206-2,189,35,107,38,23,6,15,0,413,,,
경상남도 고성군 영오면 옥천로 1447,경상남도 고성군 영오면 연당리 926,57,5,35,8,6,2,6,0,119,,,
경상남도 고성군 하일면 자란만로 1700,경상남도 고성군 하일면 학림리 381,47,5,43,4,5,0,5,0,109,,,
