시군별,2023년 농가,2023년 귀농 인구,귀농 비율,정곡_10a당_생산량_kg,현미_10a당_생산량_kg,조곡_10a당_생산량_kg
경기 수원시,3575,0.0,0.0,0,0,0
경기 성남시,1137,0.0,0.0,470,506,634
경기 안양시,1020,0.0,0.0,0,0,0
경기 부천시,1036,0.0,0.0,467,503,610
경기 광명시,648,0.0,0.0,467,503,610
경기 평택시,7946,73.0,0.009187012333249433,491,529,674
경기 안산시,1659,0.0,0.0,492,529,642
경기 과천시,246,0.0,0.0,470,506,634
경기 오산시,1132,0.0,0.0,470,506,634
경기 시흥시,1321,0.0,0.0,467,503,610
경기 군포시,596,0.0,0.0,470,506,634
경기 의왕시,673,0.0,0.0,470,506,634
경기 하남시,719,0.0,0.0,470,506,634
경기 용인시,6913,56.0,0.008100679878489801,492,530,651
경기 이천시,7908,84.0,0.010622154779969651,518,557,676
경기 안성시,9421,81.0,0.008597813395605561,485,523,640
경기 김포시,5187,58.0,0.011181800655484866,497,535,680
경기 화성시,9819,160.0,0.016294938384764233,503,542,700
경기 광주시,3928,33.0,0.00840122199592668,501,539,655
경기 여주시,6398,102.0,0.01594248202563301,521,561,681
경기 양평군,5805,120.0,0.020671834625323,469,505,634
경기 의정부시,1055,0.0,0.0,483,520,641
경기 동두천시,630,0.0,0.0,483,520,641
경기 고양시,5266,0.0,0.0,503,542,694
경기 구리시,437,0.0,0.0,0,0,0
경기 남양주시,3558,61.0,0.017144463181562677,483,520,641
경기 파주시,7012,50.0,0.00713063320022818,501,540,684
경기 양주시,3153,24.0,0.007611798287345386,483,520,641
경기 포천시,5355,60.0,0.011204481792717087,499,537,667
경기 연천군,2844,32.0,0.011251758087201125,500,539,661
경기 가평군,3235,39.0,0.01205564142194745,450,485,610
경남 창원시,13170,40.0,0.0030372057706909645,516,556,693
경남 진주시,12211,60.0,0.004913602489558595,492,529,658
경남 통영시,3269,20.0,0.0061180789232181095,493,531,658
경남 사천시,5654,49.0,0.008666430845419171,497,535,663
경남 김해시,8175,43.0,0.0052599388379204895,491,528,667
경남 밀양시,9431,114.0,0.012087795567808292,499,537,679
경남 거제시,5595,39.0,0.006970509383378016,483,519,652
경남 양산시,2761,33.0,0.01195219123505976,485,522,655
경남 의령군,3956,50.0,0.012639029322548028,519,559,699
경남 함안군,5113,56.0,0.010952474085663993,491,529,670
경남 창녕군,6977,87.0,0.012469542783431275,510,549,696
경남 고성군,5370,17.0,0.003165735567970205,504,543,681
경남 남해군,6645,74.0,0.011136192626034613,471,508,643
경남 하동군,5974,86.0,0.014395714763977234,481,517,645
경남 산청군,5376,123.0,0.022879464285714284,486,523,641
경남 함양군,4708,72.0,0.015293118096856415,547,589,720
경남 거창군,5535,98.0,0.017705510388437217,532,573,693
경남 합천군,6353,98.0,0.015425783094600977,503,542,680
경북 포항시,12988,94.0,0.007237449953803511,516,556,701
경북 경주시,12178,94.0,0.007718837247495483,519,559,691
경북 김천시,12605,130.0,0.010313367711225704,506,545,678
경북 안동시,11416,108.0,0.0094604064470918,549,591,738
경북 구미시,9912,57.0,0.0057506053268765135,571,614,753
경북 영주시,7992,52.0,0.0065065065065065065,540,582,723
경북 영천시,7968,159.0,0.019954819277108432,497,535,670
경북 상주시,13652,167.0,0.012232639906240845,573,617,772
경북 문경시,7539,104.0,0.013794933014988726,576,620,775
경북 경산시,6812,51.0,0.007486788021139166,521,561,692
경북 의성군,8637,202.0,0.023387750376288062,547,589,739
경북 청송군,5299,82.0,0.015474617852424986,523,563,697
경북 영양군,2896,40.0,0.013812154696132596,509,548,676
경북 영덕군,3102,52.0,0.016763378465506126,508,547,674
경북 청도군,6582,108.0,0.016408386508659983,499,537,680
경북 고령군,3930,69.0,0.017557251908396947,497,535,694
경북 성주군,5836,93.0,0.015935572309801235,486,523,665
경북 칠곡군,4601,31.0,0.006737665724842426,512,551,696
경북 예천군,7974,117.0,0.014672686230248307,548,589,736
경북 봉화군,5716,91.0,0.015920223932820155,530,571,709
경북 울진군,4151,40.0,0.00963623223319682,511,550,674
경북 울릉군,452,9.0,0.01991150442477876,0,0,0
전남 목포시,1506,0.0,0.0,492,530,647
전남 여수시,9023,43.0,0.004765599024714618,488,525,646
전남 순천시,12664,95.0,0.007501579279848389,507,546,667
전남 나주시,10708,126.0,0.011766903249906611,476,513,625
전남 광양시,6892,43.0,0.006239117817759722,493,531,645
전남 담양군,6621,119.0,0.01797311584352817,447,482,577
전남 곡성군,4598,108.0,0.0234884732492388,434,467,567
전남 구례군,4246,47.0,0.011069241639189827,486,524,639
전남 고흥군,9039,132.0,0.014603385330235646,502,540,668
전남 보성군,7093,92.0,0.012970534329620753,444,478,640
전남 화순군,5967,78.0,0.013071895424836602,479,516,638
전남 장흥군,5593,66.0,0.011800464866797783,450,485,661
전남 강진군,5366,77.0,0.0143496086470369,479,516,639
전남 해남군,11074,118.0,0.010655589669496117,480,517,643
전남 영암군,6917,98.0,0.014167991904004626,493,531,676
전남 무안군,7172,98.0,0.013664249860568878,492,530,637
전남 함평군,5522,97.0,0.01756609923940601,496,533,639
전남 영광군,6048,80.0,0.013227513227513227,489,526,639
전남 장성군,6079,90.0,0.014805066622799803,479,515,619
전남 완도군,3341,45.0,0.01346902125112242,474,510,642
전남 진도군,4579,46.0,0.010045861541821358,473,509,611
전남 신안군,6825,105.0,0.015384615384615385,492,530,647
전북 전주시,6551,0.0,0.0,500,538,658
전북 군산시,6558,36.0,0.0054894784995425435,520,560,688
전북 익산시,10674,78.0,0.007307476110174255,518,558,692
전북 정읍시,10396,101.0,0.009715275105809927,525,565,701
전북 남원시,7375,85.0,0.01152542372881356,549,591,728
전북 김제시,7608,119.0,0.01564143007360673,541,583,712
전북 완주군,7392,115.0,0.015557359307359308,484,521,636
전북 진안군,3457,69.0,0.01995950245877929,502,540,662
전북 무주군,3995,56.0,0.014017521902377972,535,576,705
전북 장수군,3504,49.0,0.013984018264840182,541,583,704
전북 임실군,3349,83.0,0.024783517467900865,500,539,670
전북 순창군,4793,91.0,0.018986021281034843,495,532,650
전북 고창군,7946,129.0,0.016234583438207904,527,567,692
전북 부안군,6857,88.0,0.012833600700014583,508,547,663
제주 제주시,17170,137.0,0.007979033197437391,0,0,0
제주 서귀포시,13186,106.0,0.008038829061125435,395,426,555
세종시,6573,0.0,0.0,0,0,0
충남 천안시,9876,58.0,0.005872823005265289,518,557,688
충남 공주시,10101,87.0,0.008613008613008613,536,577,712
충남 보령시,6822,79.0,0.011580181764878334,533,574,704
충남 아산시,8556,101.0,0.011804581580177654,546,588,726
충남 서산시,10623,121.0,0.011390379365527628,542,583,723
충남 논산시,9599,103.0,0.010730284404625482,541,582,721
충남 계룡시,480,14.0,0.029166666666666667,541,582,721
충남 당진시,10695,111.0,0.010378681626928472,569,613,755
충남 금산군,6235,103.0,0.016519647153167602,519,559,686
충남 부여군,7119,103.0,0.014468324202837477,535,576,728
충남 서천군,6741,90.0,0.01335113484646195,551,593,721
충남 청양군,5569,65.0,0.011671754354462202,544,586,731
충남 홍성군,9365,92.0,0.009823812066203952,546,588,730
충남 예산군,8486,107.0,0.012609003063869903,548,590,742
충남 태안군,6895,99.0,0.014358230601885425,528,568,701
충북 청주시,17457,96.0,0.005499226671249356,512,551,683
충북 충주시,10001,63.0,0.006299370062993701,530,570,708
충북 제천시,6300,59.0,0.009365079365079364,565,608,746
충북 보은군,4434,63.0,0.014208389715832206,514,553,683
충북 옥천군,5256,81.0,0.015410958904109588,499,537,664
충북 영동군,6567,92.0,0.014009441145119537,484,521,644
충북 증평군,1397,9.0,0.006442376521116679,501,539,655
충북 진천군,4479,40.0,0.008930564858227283,514,553,692
충북 괴산군,5696,94.0,0.016502808988764044,502,540,663
충북 음성군,6662,59.0,0.008856199339537676,508,547,662
충북 단양군,3288,74.0,0.022506082725060828,565,608,746
강원 춘천시,14340,51.0,0.0035564853556485356,499,537,653
강원 원주시,19586,67.0,0.0034208107832124986,523,563,694
강원 강릉시,14787,44.0,0.002975586663961588,528,568,698
강원 동해시,3713,0.0,0.0,507,546,668
강원 태백시,1379,0.0,0.0,0,0,0
